1,1,28
2,1,5
3,1,39
4,1,46
5,2,0
6,2,33
7,2,39
8,2,21
9,3,27
10,3,40
11,3,4
12,4,4
13,4,3
14,4,35
15,4,48
16,5,1
17,5,15
18,6,25
19,6,7
20,6,27
21,7,38
22,7,30
23,7,33
24,7,18
25,8,1
26,8,6
27,8,23
28,9,42
29,9,46
30,9,19
31,9,30
32,9,4
33,10,8
34,10,37
35,10,36
36,11,24
37,11,25
38,11,3
39,11,7
40,12,8
41,12,34
42,12,32
43,12,27
44,13,12
45,13,14
46,13,43
47,14,7
48,14,8
49,14,31
50,14,16
51,15,24
52,15,48
53,16,49
54,16,22
55,16,12
56,17,2
57,17,34
58,17,47
59,18,14
60,18,48
61,18,44
62,19,33
63,19,36
64,20,34
65,20,3
66,21,28
67,21,15
68,21,13
69,21,31
70,21,29
71,22,3
72,22,36
73,22,8
74,23,17
75,23,25
76,23,31
77,23,43
78,24,40
79,24,28
80,25,9
81,25,40
82,26,32
83,26,19
84,26,27
85,26,26
86,27,44
87,27,2
88,28,8
89,28,29
90,28,47
91,29,38
92,29,45
93,29,33
94,29,46
95,30,16
96,30,30
97,30,45
98,30,6
99,31,27
100,31,34
101,31,13
102,32,12
103,32,25
104,33,37
105,33,41
106,33,9
107,33,25
108,34,47
109,34,0
110,35,17
111,35,4
112,35,24
113,36,18
114,36,44
115,36,15
116,37,44
117,37,7
118,37,3
119,38,33
120,38,42
121,38,8
122,39,22
123,39,21
124,39,47
125,40,28
126,40,8
127,40,27
128,40,40
129,41,29
130,41,3
131,42,43
132,42,38
133,42,16
134,43,11
135,43,3
136,43,28
137,44,26
138,44,42
139,44,8
140,44,49
141,45,10
142,45,9
143,46,14
144,46,26
145,47,6
146,47,15
147,47,9
148,47,12
149,48,40
150,48,44
151,49,33
152,49,10
153,49,26
154,50,49
155,50,48
156,51,17
157,51,24
158,51,32
159,52,39
160,52,34
161,52,8
162,53,29
163,53,35
164,53,41
165,54,31
166,54,21
167,54,36
168,55,19
169,55,42
170,55,37
171,56,22
172,56,15
173,56,39
174,56,21
175,56,19
176,57,7
177,57,29
178,57,38
179,57,42
180,57,23
181,58,19
182,58,34
183,59,28
184,59,47
185,60,15
186,60,0
187,60,17
188,61,13
189,61,11
190,61,17
191,62,21
192,62,31
193,62,30
194,63,39
195,63,16
196,63,10
197,63,19
198,63,2
199,64,46
200,64,34
201,64,27
202,64,47
203,64,24
204,65,31
205,65,5
206,65,49
207,66,44
208,66,31
209,66,37
210,66,40
211,67,47
212,67,25
213,67,13
214,67,37
215,68,35
216,68,20
217,69,14
218,69,11
219,70,19
220,70,12
221,70,21
222,71,37
223,71,34
224,71,3
225,71,11
226,71,23
227,72,5
228,72,16
229,72,14
230,72,34
231,73,12
232,73,42
233,73,37
234,74,31
235,74,42
236,74,7
237,74,19
238,75,40
239,75,28
240,76,49
241,76,25
242,76,15
243,77,46
244,77,31
245,77,7
246,77,3
247,78,40
248,78,41
249,78,25
250,78,31
251,78,34
252,79,31
253,79,16
254,79,44
255,80,40
256,80,23
257,81,13
258,81,25
259,81,24
260,82,26
261,82,19
262,82,44
263,83,6
264,83,5
265,83,41
266,84,16
267,84,5
268,84,32
269,85,34
270,85,32
271,85,41
272,86,48
273,86,3
274,86,32
275,86,29
276,87,27
277,87,48
278,87,23
279,88,11
280,88,45
281,88,22
282,88,5
283,89,29
284,89,37
285,89,28
286,90,12
287,90,8
288,90,20
289,90,4
290,90,35
291,91,0
292,91,3
293,92,25
294,92,37
295,92,13
296,93,22
297,93,28
298,94,3
299,94,2
300,94,32
301,94,42
302,94,0
303,95,23
304,95,7
305,95,17
306,95,37
307,96,32
308,96,44
309,96,40
310,97,3
311,97,12
312,97,18
313,97,19
314,98,44
315,98,14
316,98,9
317,99,25
318,99,9
319,99,37
320,100,45
321,100,5
322,100,2
323,100,42
